campaign_id,run_id,timestamp_host,rx_timestamp_ms,tx_timestamp_ms,inter_arrival_ms,beacon_id,seq_num,pkt_type,mod_kind,spread_factor,rssi_dbm,snr_db,freq_error_hz,payload_len,distance_m,label_sf,label_mod,mod_kind_label,label_beacon,label_pkt
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:46.208184+00:00,53392,53004,1001,1,52,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:47.216184+00:00,54392,54004,1000,1,53,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:48.208144+00:00,55393,55004,1001,1,54,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:49.216141+00:00,56393,56004,1000,1,55,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:50.208113+00:00,57394,57004,1001,1,56,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:51.216044+00:00,58394,58004,1000,1,57,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:52.208226+00:00,59395,59004,1001,1,58,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:53.200061+00:00,60396,60004,1001,1,59,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:54.208125+00:00,61397,61004,1001,1,60,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:55.200080+00:00,62398,62004,1001,1,61,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:56.208044+00:00,63399,63004,1001,1,62,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:57.199985+00:00,64400,64004,1001,1,63,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:58.207959+00:00,65400,65004,1000,1,64,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:59.199964+00:00,66401,66004,1001,1,65,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:00.207931+00:00,67402,67004,1001,1,66,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:01.200051+00:00,68403,68004,1001,1,67,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:02.191903+00:00,69403,69004,1000,1,68,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:03.199889+00:00,70404,70004,1001,1,69,0,1,7,-47,10.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:04.191868+00:00,71404,71004,1000,1,70,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:05.199864+00:00,72405,72004,1001,1,71,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:06.191840+00:00,73405,73004,1000,1,72,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:07.199765+00:00,74406,74004,1001,1,73,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:08.191857+00:00,75406,75004,1000,1,74,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:09.183820+00:00,76407,76004,1001,1,75,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:10.191773+00:00,77407,77004,1000,1,76,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:11.183766+00:00,78407,78004,1000,1,77,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:12.191775+00:00,79408,79004,1001,1,78,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:13.183738+00:00,80409,80004,1001,1,79,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:14.191667+00:00,81409,81004,1000,1,80,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
